street,from,to,distance_km,travel_time_min,congestion_level
Avenida Doutor Epitacio Santiago,Intersection_74,Intersection_115,3.73,19.95,0.79
Avenida Doutor Eugenio Borges,Intersection_98,Intersection_91,4.42,23.29,0.22
Avenida Doutor Leo de Affonceca Neto,Intersection_0,Intersection_131,4.61,13.42,0.93
Avenida Francisco de Paula Brasil,Intersection_40,Intersection_32,2.4,26.41,0.25
Avenida General Eduardo Areco,Intersection_86,Intersection_81,2.76,24.39,0.38
Avenida Godoy Neto,Intersection_153,Intersection_23,1.79,21.19,0.66
Avenida Governador Mario Covas,Intersection_145,Intersection_62,3.64,19.27,0.59
Avenida Jose Giordani,Intersection_22,Intersection_53,3.54,21.4,0.77
Avenida Jose Moreira Miguel,Intersection_89,Intersection_62,2.15,27.29,0.45
Avenida Lorena,Intersection_25,Intersection_1,3.61,15.32,0.76
Avenida Major Hermenegildo Antonio Aquino,Intersection_122,Intersection_46,4.15,21.81,0.63
Avenida Mantiqueira,Intersection_10,Intersection_72,2.78,17.11,0.37
Avenida Marechal Argolo,Intersection_60,Intersection_105,4.7,27.29,0.66
Avenida Marechal Teixeira Lott,Intersection_130,Intersection_52,3.12,19.28,0.95
Avenida Mexico,Intersection_4,Intersection_16,1.9,25.96,0.68
Avenida Nossa Senhora de Fatima,Intersection_152,Intersection_92,1.44,2.46,0.65
Avenida Orlando de Oliveira,Intersection_134,Intersection_124,3.2,6.02,0.21
Avenida Osiro Dias,Intersection_154,Intersection_77,4.19,9.66,0.15
Avenida Oswaldo Aranha,Intersection_94,Intersection_33,3.28,14.97,0.78
Avenida Padre Hugo Grecco,Intersection_94,Intersection_9,4.4,3.85,0.92
Avenida Papa Joao XXIII,Intersection_114,Intersection_5,2.32,7.62,0.78
Avenida Presidente Juscelino Kubitscheck de Oliveira,Intersection_82,Intersection_27,2.21,18.85,0.51
Avenida Professora Luiza Chagas,Intersection_20,Intersection_152,1.0,8.24,0.92
Avenida Sao Joao,Intersection_78,Intersection_33,1.38,22.17,0.39
Avenida Sao Jose,Intersection_78,Intersection_112,4.51,6.6,0.42
Avenida Sao Paulo,Intersection_99,Intersection_83,0.7,29.22,0.57
Avenida Sao Pedro,Intersection_146,Intersection_104,1.61,5.6,0.87
Avenida Sao Thomaz,Intersection_90,Intersection_120,1.78,4.05,0.82
Avenida Targino Vilella Nunes,Intersection_31,Intersection_2,2.92,14.11,0.82
Avenida Tenente Jose Alves Pinto,Intersection_76,Intersection_86,1.02,16.32,0.49
Avenida Tirandentes,Intersection_10,Intersection_78,1.96,13.68,0.53
Avenida Tomaz Alves de Figueiredo,Intersection_23,Intersection_141,3.75,17.8,0.69
Rua Aurora Ferraz,Intersection_15,Intersection_25,0.66,19.59,0.47
Rua Aziz Eluani,Intersection_12,Intersection_77,1.47,4.29,0.99
Rua Benedito de Aquino Passos,Intersection_32,Intersection_33,3.57,8.13,0.37
Rua Carlos Gomes,Intersection_134,Intersection_49,2.18,11.45,0.42
Rua Cassio Nunes de Azevedo,Intersection_60,Intersection_46,0.86,11.51,0.53
Rua Castro Alves,Intersection_109,Intersection_72,2.61,5.28,0.34
Rua Coronel Joao Carlos Guedes,Intersection_18,Intersection_144,1.62,9.48,0.49
Rua David Velleniche,Intersection_58,Intersection_37,0.52,25.61,0.82
Rua Dezenove,Intersection_49,Intersection_95,3.63,12.54,0.86
Rua Dinamarca,Intersection_129,Intersection_95,2.99,24.29,0.47
Rua dos Ipes,Intersection_115,Intersection_96,0.58,23.34,0.46
Rua Francisco Guatura,Intersection_86,Intersection_34,3.28,20.24,0.93
Rua Goncalves Dias,Intersection_145,Intersection_9,1.75,17.11,0.63
Rua Joao Goncalves da Costa,Intersection_155,Intersection_22,3.6,29.19,0.75
Rua Jose Carlos de Carvalho Viana,Intersection_90,Intersection_42,1.08,27.58,0.72
Rua Marilia,Intersection_32,Intersection_121,2.7,6.63,0.81
Rua Padre Joao Renaudin,Intersection_1,Intersection_90,0.54,1.72,0.75
Rua Pedro da Costa Colaco,Intersection_84,Intersection_14,0.51,18.01,0.74
Rua Prefeito Jose Roberto Ayrosa Rangel,Intersection_77,Intersection_16,1.26,25.54,0.29
Rua Sao Francisco,Intersection_40,Intersection_104,3.3,9.82,0.15
Rua Tereza Cristina,Intersection_132,Intersection_35,2.38,26.05,0.59
Rua Uruguai,Intersection_133,Intersection_57,0.54,5.46,0.82
Travessa Alvorada,Intersection_99,Intersection_31,1.56,5.13,0.68
Via Yakult,Intersection_117,Intersection_93,3.71,18.62,0.71
Rua da Aurora,Intersection_35,Intersection_24,2.03,16.23,0.34
Rua das Margaridas,Intersection_79,Intersection_52,1.46,16.82,0.36
Rua das Acacias,Intersection_99,Intersection_30,0.55,27.1,0.97
Rua das Acacias,Intersection_65,Intersection_155,3.69,24.0,0.88
Rua dos Passaros,Intersection_7,Intersection_79,1.72,5.39,0.42
Rua dos Cedros,Intersection_111,Intersection_9,2.22,29.71,0.78
Rua dos Cedros,Intersection_135,Intersection_4,3.88,18.04,0.3
Rua da Aurora,Intersection_49,Intersection_123,4.55,12.84,0.11
Rua das Acacias,Intersection_65,Intersection_46,4.55,23.16,0.4
Rua das Violetas,Intersection_56,Intersection_95,4.71,13.81,0.53
Rua da Colina,Intersection_150,Intersection_25,3.64,13.34,0.33
Rua da Colina,Intersection_0,Intersection_142,3.95,14.75,0.13
Rua das Nuvens,Intersection_61,Intersection_23,0.86,8.45,0.7
Rua da Montanha,Intersection_118,Intersection_124,2.43,26.89,0.98
Rua dos Jacarandas,Intersection_3,Intersection_87,3.59,8.02,0.76
Rua das Violetas,Intersection_8,Intersection_28,3.89,19.31,0.4
Rua das Palmeiras,Intersection_124,Intersection_141,4.29,14.58,0.69
Rua dos Jacarandas,Intersection_35,Intersection_57,4.63,7.77,0.86
Rua das Margaridas,Intersection_37,Intersection_56,2.54,3.12,0.84
Rua das Violetas,Intersection_53,Intersection_80,3.18,13.68,0.14
Rua da Lua,Intersection_78,Intersection_142,0.91,1.25,0.4
Rua dos Lirios,Intersection_105,Intersection_143,1.91,24.15,0.53
Rua do Sol,Intersection_146,Intersection_35,0.82,16.62,0.61
Rua dos Cedros,Intersection_57,Intersection_35,2.24,21.45,0.99
Rua dos Cedros,Intersection_81,Intersection_78,0.56,3.49,0.73
Rua dos Cedros,Intersection_106,Intersection_38,3.76,22.24,0.53
Rua da Montanha,Intersection_44,Intersection_19,4.93,4.82,0.92
Rua das Oliveiras,Intersection_7,Intersection_57,1.35,4.75,0.55
Rua das Aguas,Intersection_126,Intersection_139,2.93,13.69,0.65
Rua da Cascata,Intersection_130,Intersection_120,0.85,21.31,0.63
Rua dos Girassois,Intersection_124,Intersection_94,2.44,12.61,0.38
Rua das Flores,Intersection_131,Intersection_67,4.54,20.74,0.37
Rua das Flores,Intersection_142,Intersection_42,2.91,10.07,0.2
Rua dos Ipes,Intersection_140,Intersection_47,3.78,29.98,0.88
Rua da Lua,Intersection_118,Intersection_135,1.7,12.88,0.24
Rua das Palmeiras,Intersection_139,Intersection_28,3.45,6.76,0.7
Rua dos Passaros,Intersection_115,Intersection_131,2.7,22.45,0.62
Rua das Margaridas,Intersection_138,Intersection_115,2.17,5.97,0.44
Rua dos Passaros,Intersection_113,Intersection_42,3.45,2.26,0.62
Rua dos Jacarandas,Intersection_130,Intersection_8,3.54,25.23,0.6
Rua dos Girassois,Intersection_108,Intersection_59,3.97,9.17,0.14
Rua dos Ipes,Intersection_25,Intersection_52,2.16,16.61,0.44
Rua das Margaridas,Intersection_28,Intersection_44,3.98,25.26,0.77
Rua da Cascata,Intersection_23,Intersection_54,0.77,11.2,0.48
Rua dos Ipes,Intersection_37,Intersection_35,2.8,19.6,0.92
Rua dos Passaros,Intersection_147,Intersection_75,2.16,13.83,0.89
Rua do Sol,Intersection_122,Intersection_31,1.38,21.26,0.46
Rua das Margaridas,Intersection_88,Intersection_1,2.92,17.1,0.92
Rua dos Lirios,Intersection_33,Intersection_155,1.1,22.38,0.23
Rua das Palmeiras,Intersection_68,Intersection_102,0.91,19.29,0.11
Rua dos Ipes,Intersection_128,Intersection_99,1.93,12.64,0.52
Rua das Flores,Intersection_141,Intersection_114,2.71,22.22,0.88
Rua das Aguas,Intersection_157,Intersection_118,1.09,15.75,0.49
Rua dos Pinheiros,Intersection_53,Intersection_145,4.7,24.48,0.25
Rua da Cascata,Intersection_69,Intersection_145,1.15,22.98,0.37
Rua do Campo,Intersection_64,Intersection_82,3.47,3.07,0.8
Rua dos Cedros,Intersection_139,Intersection_146,2.58,8.9,0.82
Rua do Sol,Intersection_24,Intersection_14,3.32,10.68,0.27
Rua das Oliveiras,Intersection_83,Intersection_50,3.17,14.61,0.43
Rua das Rosas,Intersection_125,Intersection_69,4.4,26.66,0.66
Rua das Rosas,Intersection_25,Intersection_89,3.34,21.05,0.85
Rua dos Jacarandas,Intersection_66,Intersection_63,3.17,28.45,0.62
Rua da Cascata,Intersection_101,Intersection_140,2.2,15.71,0.17
Rua das Nuvens,Intersection_112,Intersection_16,1.87,14.32,0.68
Rua da Montanha,Intersection_143,Intersection_30,0.79,12.15,0.14
Rua dos Cravos,Intersection_10,Intersection_38,2.29,19.86,0.12
Rua do Sol,Intersection_110,Intersection_120,0.73,10.98,0.39
Rua da Cascata,Intersection_46,Intersection_35,1.25,19.45,0.15
Rua dos Passaros,Intersection_131,Intersection_17,3.73,25.47,0.41
Rua das Laranjeiras,Intersection_103,Intersection_28,4.71,16.13,0.64
Rua das Margaridas,Intersection_76,Intersection_31,1.04,25.35,0.2
Rua dos Ipes,Intersection_63,Intersection_124,4.64,23.84,0.21
Rua das Aguas,Intersection_82,Intersection_122,3.62,26.14,0.34
Rua do Campo,Intersection_47,Intersection_116,4.82,23.67,0.74
Rua da Lua,Intersection_98,Intersection_131,4.88,28.66,0.35
Rua do Campo,Intersection_138,Intersection_151,0.53,5.55,0.92
Rua dos Ipes,Intersection_37,Intersection_114,0.6,10.45,0.35
Rua das Margaridas,Intersection_88,Intersection_93,2.6,28.9,0.42
Rua dos Ipes,Intersection_25,Intersection_98,1.03,1.89,0.34
Rua das Rosas,Intersection_33,Intersection_9,4.56,9.64,0.65
Rua das Orquideas,Intersection_45,Intersection_53,0.62,28.16,0.79
Rua da Colina,Intersection_135,Intersection_90,1.46,21.87,0.77
Rua dos Ipes,Intersection_64,Intersection_108,4.72,2.39,0.33
Rua dos Cedros,Intersection_91,Intersection_7,0.82,17.01,0.73
Rua da Cascata,Intersection_65,Intersection_145,3.24,5.08,0.15
Rua dos Pinheiros,Intersection_8,Intersection_87,2.88,8.67,0.54
Rua dos Pinheiros,Intersection_27,Intersection_136,4.36,22.71,0.86
Rua da Montanha,Intersection_56,Intersection_40,4.91,10.89,0.42
Rua dos Lirios,Intersection_11,Intersection_48,2.71,21.62,0.49
Rua da Lua,Intersection_49,Intersection_55,2.14,11.71,0.84
Rua dos Ipes,Intersection_69,Intersection_64,3.41,6.26,0.17
Rua dos Girassois,Intersection_47,Intersection_64,1.93,15.89,0.36
Rua dos Ipes,Intersection_26,Intersection_156,3.56,7.6,0.38
Rua dos Cedros,Intersection_104,Intersection_71,3.06,27.06,0.77
Rua da Cascata,Intersection_104,Intersection_44,2.97,28.82,0.98
Rua das Orquideas,Intersection_81,Intersection_71,3.13,17.84,0.37
Rua das Nuvens,Intersection_130,Intersection_116,3.51,1.89,0.17
Rua da Montanha,Intersection_75,Intersection_34,4.05,9.72,0.13
Rua das Flores,Intersection_120,Intersection_15,0.91,23.7,0.3
Rua da Montanha,Intersection_85,Intersection_29,3.55,22.54,0.37
Rua da Montanha,Intersection_108,Intersection_69,2.64,7.4,0.23
Rua das Violetas,Intersection_50,Intersection_81,3.67,24.3,0.93
Rua dos Cravos,Intersection_36,Intersection_88,3.92,24.5,0.42
Rua das Flores,Intersection_129,Intersection_152,0.58,18.02,0.88
Rua das Margaridas,Intersection_39,Intersection_131,0.9,20.82,0.29
Rua da Montanha,Intersection_73,Intersection_101,0.81,21.71,0.49
Rua das Violetas,Intersection_20,Intersection_15,3.53,12.7,0.16
Rua da Colina,Intersection_47,Intersection_150,3.7,15.91,0.74
Rua das Orquideas,Intersection_130,Intersection_5,3.42,14.83,0.99
Rua das Margaridas,Intersection_100,Intersection_26,3.32,14.18,0.11
Rua dos Lirios,Intersection_140,Intersection_6,2.45,28.25,0.74
Rua das Acacias,Intersection_16,Intersection_154,1.25,3.85,0.58
Rua da Aurora,Intersection_33,Intersection_76,2.31,25.34,0.97
Rua dos Passaros,Intersection_101,Intersection_54,3.71,18.93,0.19
Rua dos Cedros,Intersection_15,Intersection_98,0.81,23.73,0.43
Rua dos Girassois,Intersection_95,Intersection_39,1.58,28.29,0.98
Rua da Colina,Intersection_115,Intersection_85,4.16,29.03,0.61
Rua dos Jacarandas,Intersection_131,Intersection_96,3.57,2.09,0.63
Rua das Orquideas,Intersection_83,Intersection_67,1.34,5.25,0.52
Rua das Flores,Intersection_98,Intersection_110,2.74,5.78,0.45
Rua dos Girassois,Intersection_10,Intersection_66,4.98,29.76,0.71
Rua das Rosas,Intersection_88,Intersection_102,3.46,9.06,0.7
Rua da Aurora,Intersection_22,Intersection_30,3.25,6.27,0.72
Rua do Campo,Intersection_7,Intersection_40,1.41,5.47,0.23
Rua dos Cedros,Intersection_82,Intersection_131,1.08,21.39,0.44
Rua dos Cravos,Intersection_86,Intersection_146,2.04,2.66,0.84
Rua das Acacias,Intersection_48,Intersection_41,3.07,3.38,0.58
Rua das Acacias,Intersection_79,Intersection_68,1.91,12.32,0.85
Rua dos Passaros,Intersection_125,Intersection_62,4.37,5.85,0.71
Rua das Orquideas,Intersection_87,Intersection_138,1.13,26.4,0.17
Rua dos Passaros,Intersection_1,Intersection_39,3.95,29.6,0.46
Rua das Violetas,Intersection_26,Intersection_18,3.85,6.32,0.95
Rua dos Pinheiros,Intersection_118,Intersection_145,4.11,26.53,0.65
Rua dos Cravos,Intersection_96,Intersection_14,2.89,28.42,0.91
Rua das Laranjeiras,Intersection_110,Intersection_8,1.46,17.81,0.86
Rua das Orquideas,Intersection_84,Intersection_98,0.89,28.66,0.15
Rua das Violetas,Intersection_121,Intersection_60,3.36,28.65,0.48
Rua dos Girassois,Intersection_47,Intersection_107,1.56,25.68,0.24
Rua da Montanha,Intersection_62,Intersection_146,2.67,27.42,0.41
Rua dos Ipes,Intersection_6,Intersection_108,2.44,27.98,0.34
Rua dos Passaros,Intersection_151,Intersection_100,2.71,1.2,0.5
Rua dos Passaros,Intersection_157,Intersection_59,3.64,2.75,0.26
Rua dos Lirios,Intersection_154,Intersection_30,3.46,4.88,0.69
Rua da Aurora,Intersection_48,Intersection_28,4.36,13.85,0.56
Rua das Oliveiras,Intersection_151,Intersection_146,3.78,28.74,0.35
Rua da Cascata,Intersection_78,Intersection_3,4.97,16.69,0.25
Rua das Nuvens,Intersection_154,Intersection_115,2.77,29.69,0.57
Rua das Flores,Intersection_120,Intersection_118,2.65,7.46,0.8
Rua dos Girassois,Intersection_74,Intersection_44,1.8,11.76,0.44
Rua dos Cravos,Intersection_113,Intersection_129,1.21,18.75,0.76
Rua das Oliveiras,Intersection_35,Intersection_80,0.91,16.04,0.23
Rua das Oliveiras,Intersection_134,Intersection_57,3.35,24.03,0.91
Rua das Nuvens,Intersection_18,Intersection_28,4.66,25.15,0.79
Rua da Cascata,Intersection_119,Intersection_111,1.98,12.42,0.94
Rua das Aguas,Intersection_148,Intersection_73,1.4,7.13,0.94
Rua das Orquideas,Intersection_118,Intersection_135,0.79,22.36,0.57
Rua das Oliveiras,Intersection_11,Intersection_132,4.46,18.22,0.98
Rua dos Lirios,Intersection_156,Intersection_30,3.32,26.71,0.42
Rua dos Passaros,Intersection_73,Intersection_138,4.59,1.71,0.36
Rua da Cascata,Intersection_150,Intersection_30,4.46,10.64,0.74
Rua das Laranjeiras,Intersection_119,Intersection_41,0.96,14.95,0.42
Rua dos Girassois,Intersection_15,Intersection_80,4.69,11.93,0.91
Rua das Oliveiras,Intersection_72,Intersection_95,1.3,10.17,0.31
Rua da Lua,Intersection_14,Intersection_129,2.26,24.2,0.34
Rua das Nuvens,Intersection_8,Intersection_98,1.47,4.38,0.2
Rua das Orquideas,Intersection_90,Intersection_99,0.62,18.74,0.56
Rua das Flores,Intersection_134,Intersection_28,0.56,19.58,0.38
Rua do Campo,Intersection_66,Intersection_87,4.04,12.3,0.98
Rua das Nuvens,Intersection_45,Intersection_22,1.89,6.9,0.81
Rua dos Girassois,Intersection_86,Intersection_156,2.61,8.3,0.58
Rua das Oliveiras,Intersection_56,Intersection_149,1.29,5.2,0.82
Rua do Sol,Intersection_125,Intersection_77,3.23,6.15,0.23
Rua dos Ipes,Intersection_117,Intersection_18,4.74,12.83,0.58
Rua das Margaridas,Intersection_147,Intersection_108,1.52,14.36,0.65
Rua dos Ipes,Intersection_68,Intersection_51,3.78,14.33,0.17
Rua dos Lirios,Intersection_42,Intersection_32,1.32,5.69,0.35
Rua dos Girassois,Intersection_74,Intersection_1,3.99,9.65,0.95
Rua das Nuvens,Intersection_151,Intersection_116,4.13,16.23,0.57
Rua dos Lirios,Intersection_44,Intersection_8,2.59,22.74,0.22
Rua da Aurora,Intersection_59,Intersection_67,4.97,9.08,0.81
Rua dos Cedros,Intersection_52,Intersection_33,4.8,2.29,0.66
Rua dos Lirios,Intersection_52,Intersection_12,4.05,7.85,0.45
Rua dos Cravos,Intersection_29,Intersection_121,3.67,12.13,0.58
Rua dos Jacarandas,Intersection_124,Intersection_119,1.89,16.57,0.12
Rua das Acacias,Intersection_51,Intersection_34,1.76,5.11,0.41
Rua dos Cravos,Intersection_43,Intersection_57,2.0,5.38,0.36
Rua da Lua,Intersection_79,Intersection_67,4.44,26.83,0.68
Rua do Sol,Intersection_15,Intersection_144,3.69,18.48,0.61
Rua da Colina,Intersection_31,Intersection_60,1.71,24.43,0.75
Rua da Colina,Intersection_58,Intersection_146,2.81,17.9,0.88
Rua dos Girassois,Intersection_53,Intersection_17,1.18,27.55,0.59
Rua dos Pinheiros,Intersection_108,Intersection_41,0.76,3.09,0.52
Rua dos Jacarandas,Intersection_24,Intersection_47,2.79,4.39,0.37
Rua das Nuvens,Intersection_135,Intersection_102,3.33,7.57,0.81
Rua da Montanha,Intersection_35,Intersection_15,1.33,28.49,0.79
Rua da Aurora,Intersection_29,Intersection_27,3.51,12.21,0.6
Rua dos Girassois,Intersection_152,Intersection_126,1.55,9.77,0.84
Rua dos Passaros,Intersection_118,Intersection_58,1.89,22.17,0.35
Rua dos Jacarandas,Intersection_137,Intersection_29,3.69,6.39,0.49
Rua das Oliveiras,Intersection_138,Intersection_102,3.84,4.41,0.52
Rua das Orquideas,Intersection_131,Intersection_41,4.4,1.45,0.45
Rua das Laranjeiras,Intersection_43,Intersection_111,4.62,11.94,0.42
Rua das Margaridas,Intersection_67,Intersection_95,2.84,18.92,0.83
Rua dos Lirios,Intersection_21,Intersection_59,4.38,14.08,0.24
Rua das Laranjeiras,Intersection_104,Intersection_111,4.85,24.93,0.77
Rua dos Passaros,Intersection_17,Intersection_151,3.82,16.53,0.68
Rua das Margaridas,Intersection_0,Intersection_80,4.77,29.02,0.7
Rua das Nuvens,Intersection_103,Intersection_146,1.15,12.0,0.74
Rua das Margaridas,Intersection_127,Intersection_59,2.42,9.61,0.57
Rua das Oliveiras,Intersection_27,Intersection_37,4.94,27.43,0.3
Rua dos Cravos,Intersection_107,Intersection_86,2.76,20.43,0.12
Rua dos Pinheiros,Intersection_52,Intersection_16,3.54,24.31,0.63
Rua dos Lirios,Intersection_53,Intersection_116,2.65,16.95,0.31
Rua da Lua,Intersection_39,Intersection_4,1.23,6.83,0.6
Rua das Orquideas,Intersection_131,Intersection_124,2.55,4.69,0.18
Rua das Oliveiras,Intersection_152,Intersection_101,4.22,23.71,0.51
Rua dos Lirios,Intersection_102,Intersection_11,2.78,21.81,0.15
Rua do Sol,Intersection_136,Intersection_153,3.93,11.04,0.62
Rua das Orquideas,Intersection_129,Intersection_36,2.14,23.39,0.75
Rua das Flores,Intersection_77,Intersection_69,2.53,27.43,0.84
Rua dos Girassois,Intersection_75,Intersection_103,2.57,8.51,0.15
Rua dos Pinheiros,Intersection_65,Intersection_32,0.84,22.3,0.43
Rua dos Pinheiros,Intersection_100,Intersection_134,3.56,7.71,0.93
Rua das Violetas,Intersection_133,Intersection_89,2.32,2.52,0.22
Rua dos Girassois,Intersection_13,Intersection_144,2.44,19.01,0.39
Rua das Flores,Intersection_77,Intersection_94,1.1,27.28,0.3
Rua dos Passaros,Intersection_69,Intersection_25,2.99,11.89,0.84
Rua do Sol,Intersection_12,Intersection_126,2.05,9.87,0.91
Rua dos Girassois,Intersection_151,Intersection_26,1.2,7.15,0.38
Rua da Lua,Intersection_56,Intersection_151,1.45,27.08,0.96
Rua das Aguas,Intersection_102,Intersection_8,1.91,23.29,0.76
Rua do Sol,Intersection_143,Intersection_3,0.52,17.61,0.59
Rua das Violetas,Intersection_71,Intersection_141,4.09,1.68,0.25
Rua dos Jacarandas,Intersection_66,Intersection_61,1.19,7.3,0.22
Rua da Lua,Intersection_80,Intersection_79,1.79,26.25,0.44
Rua do Campo,Intersection_21,Intersection_49,1.48,19.47,0.3
Rua dos Cravos,Intersection_106,Intersection_56,3.88,19.99,0.94
Rua da Colina,Intersection_98,Intersection_45,1.89,6.01,0.15
Rua da Montanha,Intersection_100,Intersection_18,3.5,24.97,0.98
Rua da Lua,Intersection_10,Intersection_59,3.04,19.86,0.29
Rua das Palmeiras,Intersection_8,Intersection_44,2.01,7.77,0.1
Rua dos Ipes,Intersection_12,Intersection_148,4.3,28.0,0.28
Rua do Sol,Intersection_113,Intersection_121,3.35,15.81,0.94
Rua dos Pinheiros,Intersection_76,Intersection_43,3.34,26.45,0.36
Rua da Lua,Intersection_80,Intersection_98,2.74,7.77,0.42
Rua da Montanha,Intersection_19,Intersection_86,1.43,17.34,0.6
Rua dos Lirios,Intersection_132,Intersection_87,1.96,5.12,0.77
Rua da Lua,Intersection_100,Intersection_153,2.75,4.41,0.99
Rua dos Lirios,Intersection_142,Intersection_44,4.27,26.4,0.55
Rua da Cascata,Intersection_111,Intersection_67,4.77,13.4,0.46
Rua dos Lirios,Intersection_82,Intersection_19,3.07,5.19,0.33
Rua das Rosas,Intersection_31,Intersection_108,4.66,21.35,0.51
Rua dos Lirios,Intersection_56,Intersection_151,0.6,29.04,0.29
Rua dos Jacarandas,Intersection_49,Intersection_12,1.4,1.43,0.71
Rua da Montanha,Intersection_9,Intersection_65,3.82,13.11,0.83
Rua das Acacias,Intersection_150,Intersection_122,2.64,13.66,0.32
Rua dos Passaros,Intersection_38,Intersection_140,2.01,19.25,0.73
Rua das Rosas,Intersection_157,Intersection_52,4.93,11.43,0.73
Rua dos Cedros,Intersection_42,Intersection_113,0.78,3.2,0.82
Rua dos Passaros,Intersection_13,Intersection_62,1.87,29.56,0.57
Rua da Aurora,Intersection_3,Intersection_36,3.55,21.99,0.74
Rua dos Passaros,Intersection_26,Intersection_23,2.36,17.76,0.18
Rua da Aurora,Intersection_120,Intersection_23,4.5,13.75,0.72
Rua das Orquideas,Intersection_77,Intersection_122,4.18,8.56,0.51
Rua dos Jacarandas,Intersection_153,Intersection_144,3.12,18.71,0.94
Rua dos Lirios,Intersection_73,Intersection_64,1.98,27.39,0.61
Rua dos Cravos,Intersection_55,Intersection_123,4.15,4.6,0.52
Rua das Acacias,Intersection_150,Intersection_99,3.9,24.94,0.39
Rua dos Cedros,Intersection_142,Intersection_125,0.79,27.24,0.1
Rua das Laranjeiras,Intersection_26,Intersection_64,2.23,29.11,0.4
Rua dos Cedros,Intersection_96,Intersection_138,2.94,3.9,0.63
Rua do Campo,Intersection_137,Intersection_149,0.89,14.03,0.64
Rua da Montanha,Intersection_111,Intersection_35,0.85,5.07,0.6
Rua do Campo,Intersection_50,Intersection_36,3.05,1.52,0.63
Rua do Sol,Intersection_150,Intersection_100,0.83,7.14,0.2
Rua dos Ipes,Intersection_35,Intersection_136,4.24,14.58,0.63
Rua do Campo,Intersection_80,Intersection_86,3.39,10.57,0.26
Rua das Rosas,Intersection_151,Intersection_116,2.82,23.17,0.58
Rua da Cascata,Intersection_114,Intersection_151,3.23,29.34,0.24
Rua da Aurora,Intersection_102,Intersection_47,2.49,14.89,0.3
Rua das Orquideas,Intersection_120,Intersection_103,3.57,7.51,0.9
Rua das Orquideas,Intersection_67,Intersection_142,1.56,4.79,0.5
Rua das Nuvens,Intersection_146,Intersection_90,4.06,10.12,0.33
Rua das Aguas,Intersection_127,Intersection_126,3.71,5.01,0.54
Rua das Oliveiras,Intersection_103,Intersection_39,3.98,14.08,0.33
Rua dos Cravos,Intersection_116,Intersection_46,3.37,5.72,0.48
Rua das Margaridas,Intersection_75,Intersection_60,3.86,29.14,0.54
Rua das Margaridas,Intersection_154,Intersection_60,1.25,1.76,0.48
Rua das Palmeiras,Intersection_33,Intersection_148,2.96,27.26,0.91
Rua dos Ipes,Intersection_69,Intersection_154,2.34,22.52,0.28
Rua do Sol,Intersection_76,Intersection_69,4.12,1.0,0.42
Rua das Acacias,Intersection_150,Intersection_55,0.94,14.48,0.45
Rua dos Girassois,Intersection_95,Intersection_59,1.43,27.91,0.81
Rua das Aguas,Intersection_119,Intersection_81,4.0,18.9,0.23
Rua das Orquideas,Intersection_98,Intersection_132,2.1,1.23,0.29
Rua das Nuvens,Intersection_95,Intersection_88,4.37,10.61,0.4
Rua dos Girassois,Intersection_63,Intersection_142,1.36,9.13,0.48
Rua dos Cravos,Intersection_45,Intersection_17,2.01,12.12,0.53
Rua dos Passaros,Intersection_97,Intersection_153,2.16,27.57,0.3
Rua da Lua,Intersection_69,Intersection_9,3.17,22.88,0.17
Rua das Margaridas,Intersection_10,Intersection_92,2.81,1.5,0.4
