Street,From,To,Distance_km,Travel_time_min,Congestion_level
Rua das Oliveiras,127,116,1.3,10.17,0.31
Rua da Lua,5,51,2.26,24.2,0.34
Rua das Nuvens,66,21,1.47,4.38,0.2
Rua das Orquideas,43,41,0.62,18.74,0.56
Rua das Flores,35,82,0.56,19.58,0.38
Rua do Campo,94,118,4.04,12.3,0.98
Rua das Nuvens,103,27,1.89,6.9,0.81
Rua dos Girassois,24,126,2.61,8.3,0.58
Rua das Oliveiras,7,152,1.29,5.2,0.82
Rua do Sol,93,55,3.23,6.15,0.23
Rua dos Ipes,57,50,4.74,12.83,0.58
Rua das Margaridas,83,81,1.52,14.36,0.65
Rua dos Ipes,85,0,3.78,14.33,0.17
Rua dos Lirios,128,48,1.32,5.69,0.35
Rua dos Girassois,20,54,3.99,9.65,0.95
Rua das Nuvens,123,146,4.13,16.23,0.57
Rua dos Lirios,74,66,2.59,22.74,0.22
Rua da Aurora,129,134,4.97,9.08,0.81
Rua dos Cedros,130,84,4.8,2.29,0.66
Rua dos Lirios,130,15,4.05,7.85,0.45
Rua dos Cravos,131,120,3.67,12.13,0.58
Rua dos Jacarandas,67,124,1.89,16.57,0.12
Rua das Acacias,0,149,1.76,5.11,0.41
Rua dos Cravos,132,71,2.0,5.38,0.36
Rua da Lua,2,134,4.44,26.83,0.68
Rua do Sol,47,148,3.69,18.48,0.61
Rua da Colina,44,31,1.71,24.43,0.75
Rua da Colina,10,42,2.81,17.9,0.88
Rua dos Girassois,69,135,1.18,27.55,0.59
Rua dos Pinheiros,81,151,0.76,3.09,0.52
Rua dos Jacarandas,91,102,2.79,4.39,0.37
Rua das Nuvens,61,138,3.33,7.57,0.81
Rua da Montanha,58,47,1.33,28.49,0.79
Rua da Aurora,131,105,3.51,12.21,0.6
Rua dos Girassois,34,19,1.55,9.77,0.84
Rua dos Passaros,64,10,1.89,22.17,0.35
Rua dos Jacarandas,133,131,3.69,6.39,0.49
Rua das Oliveiras,79,138,3.84,4.41,0.52
Rua das Orquideas,75,151,4.4,1.45,0.45
Rua das Laranjeiras,132,1,4.62,11.94,0.42
Rua das Margaridas,134,116,2.84,18.92,0.83
Rua dos Lirios,13,129,4.38,14.08,0.24
Rua das Laranjeiras,107,1,4.85,24.93,0.77
Rua dos Passaros,135,123,3.82,16.53,0.68
Rua das Margaridas,22,14,4.77,29.02,0.7
Rua das Nuvens,100,42,1.15,12.0,0.74
Rua das Margaridas,136,129,2.42,9.61,0.57
Rua das Oliveiras,105,68,4.94,27.43,0.3
Rua dos Cravos,137,24,2.76,20.43,0.12
Rua dos Pinheiros,130,115,3.54,24.31,0.63
Rua dos Lirios,69,146,2.65,16.95,0.31
Rua da Lua,113,33,1.23,6.83,0.6
Rua das Orquideas,75,67,2.55,4.69,0.18
Rua das Oliveiras,34,95,4.22,23.71,0.51
Rua dos Lirios,138,8,2.78,21.81,0.15
Rua do Sol,139,25,3.93,11.04,0.62
Rua das Orquideas,51,112,2.14,23.39,0.75
Rua das Flores,55,89,2.53,27.43,0.84
Rua dos Girassois,108,100,2.57,8.51,0.15
Rua dos Pinheiros,59,48,0.84,22.3,0.43
Rua dos Pinheiros,6,35,3.56,7.71,0.93
Rua das Violetas,56,28,2.32,2.52,0.22
Rua dos Girassois,140,148,2.44,19.01,0.39
Rua das Flores,55,37,1.1,27.28,0.3
Rua dos Passaros,89,29,2.99,11.89,0.84
Rua do Sol,15,19,2.05,9.87,0.91
Rua dos Girassois,123,106,1.2,7.15,0.38
Rua da Lua,7,123,1.45,27.08,0.96
Rua das Aguas,138,66,1.91,23.29,0.76
Rua do Sol,97,65,0.52,17.61,0.59
Rua das Violetas,141,87,4.09,1.68,0.25
Rua dos Jacarandas,94,63,1.19,7.3,0.22
Rua da Lua,14,2,1.79,26.25,0.44
Rua do Campo,13,16,1.48,19.47,0.3
Rua dos Cravos,73,7,3.88,19.99,0.94
Rua da Colina,21,103,1.89,6.01,0.15
Rua da Montanha,6,50,3.5,24.97,0.98
Rua da Lua,11,129,3.04,19.86,0.29
Rua das Palmeiras,66,74,2.01,7.77,0.1
Rua dos Ipes,15,125,4.3,28.0,0.28
Rua do Sol,80,120,3.35,15.81,0.94
Rua dos Pinheiros,45,132,3.34,26.45,0.36
Rua da Lua,14,21,2.74,7.77,0.42
Rua da Montanha,142,24,1.43,17.34,0.6
Rua dos Lirios,9,118,1.96,5.12,0.77
Rua da Lua,6,25,2.75,4.41,0.99
Rua dos Lirios,76,74,4.27,26.4,0.55
Rua da Cascata,1,134,4.77,13.4,0.46
Rua dos Lirios,17,142,3.07,5.19,0.33
Rua das Rosas,44,81,4.66,21.35,0.51
Rua dos Lirios,7,123,0.6,29.04,0.29
Rua dos Jacarandas,16,15,1.4,1.43,0.71
Rua da Montanha,143,59,3.82,13.11,0.83
Rua das Acacias,62,30,2.64,13.66,0.32
Rua dos Passaros,144,77,2.01,19.25,0.73
Rua das Rosas,88,130,4.93,11.43,0.73
Rua dos Cedros,128,80,0.78,3.2,0.82
Rua dos Passaros,140,121,1.87,29.56,0.57
Rua da Aurora,65,112,3.55,21.99,0.74
Rua dos Passaros,106,46,2.36,17.76,0.18
Rua da Aurora,109,46,4.5,13.75,0.72
Rua das Orquideas,55,30,4.18,8.56,0.51
Rua dos Jacarandas,25,148,3.12,18.71,0.94
Rua dos Lirios,114,90,1.98,27.39,0.61
Rua dos Cravos,145,156,4.15,4.6,0.52
Rua das Acacias,62,41,3.9,24.94,0.39
Rua dos Cedros,76,93,0.79,27.24,0.1
Rua das Laranjeiras,106,90,2.23,29.11,0.4
Rua dos Cedros,119,79,2.94,3.9,0.63
Rua do Campo,133,152,0.89,14.03,0.64
Rua da Montanha,1,58,0.85,5.07,0.6
Rua do Campo,111,112,3.05,1.52,0.63
Rua do Sol,62,6,0.83,7.14,0.2
Rua dos Ipes,58,139,4.24,14.58,0.63
Rua do Campo,14,24,3.39,10.57,0.26
Rua das Rosas,123,146,2.82,23.17,0.58
Rua da Cascata,38,123,3.23,29.34,0.24
Rua da Aurora,138,102,2.49,14.89,0.3
Rua das Orquideas,109,100,3.57,7.51,0.9
Rua das Orquideas,134,76,1.56,4.79,0.5
Rua das Nuvens,42,43,4.06,10.12,0.33
Rua das Aguas,136,19,3.71,5.01,0.54
Rua das Oliveiras,100,113,3.98,14.08,0.33
Rua dos Cravos,146,99,3.37,5.72,0.48
Rua das Margaridas,108,31,3.86,29.14,0.54
Rua das Margaridas,36,31,1.25,1.76,0.48
Rua das Palmeiras,84,125,2.96,27.26,0.91
Rua dos Ipes,89,36,2.34,22.52,0.28
Rua do Sol,45,89,4.12,1.0,0.42
Rua das Acacias,62,145,0.94,14.48,0.45
Rua dos Girassois,116,129,1.43,27.91,0.81
Rua das Aguas,124,72,4.0,18.9,0.23
Rua das Orquideas,21,9,2.1,1.23,0.29
Rua das Nuvens,116,12,4.37,10.61,0.4
Rua dos Girassois,101,76,1.36,9.13,0.48
Rua dos Cravos,103,135,2.01,12.12,0.53
Rua dos Passaros,147,25,2.16,27.57,0.3
Rua da Lua,89,143,3.17,22.88,0.17
Rua das Margaridas,11,4,2.81,1.5,0.4
Rua dos Cedros,143,56,2.42,21.52,0.97
Rua dos Passaros,140,4,1.61,24.36,0.78
Rua da Colina,47,52,3.38,18.36,0.79
Rua dos Pinheiros,43,106,2.71,2.35,0.19
Rua das Violetas,65,105,1.0,9.44,0.64
Rua dos Girassois,48,16,2.54,15.81,0.37
Rua dos Pinheiros,14,106,3.07,1.91,0.43
Rua das Palmeiras,97,94,2.82,7.31,0.16
Rua da Cascata,96,130,2.67,26.24,0.57
Rua das Palmeiras,13,111,1.94,16.66,0.52
Rua dos Pinheiros,109,120,1.88,1.75,0.33
Rua dos Girassois,5,6,1.56,9.75,0.74
Rua do Sol,25,50,1.18,4.06,0.78
Rua das Rosas,81,96,4.25,22.19,0.51
Rua das Rosas,145,26,2.78,28.97,0.72
Rua dos Jacarandas,134,106,0.91,11.82,0.97
Rua dos Lirios,2,26,3.28,26.46,0.53
Rua do Sol,130,100,1.76,17.34,0.73
Rua do Sol,33,25,2.94,4.52,0.1
Rua das Nuvens,135,108,4.75,4.82,0.28
Rua dos Pinheiros,148,49,3.66,15.04,0.61
Rua da Aurora,118,102,2.21,9.94,0.9
Rua dos Girassois,149,75,4.34,9.07,0.52
Rua das Aguas,61,123,4.45,20.7,0.87
Rua das Violetas,113,107,2.37,8.43,0.61
Rua das Flores,57,82,2.74,15.12,0.56
Rua do Sol,105,149,4.84,6.57,0.32
Rua dos Passaros,65,113,0.52,13.72,0.75
Rua dos Passaros,23,12,0.61,29.76,0.96
Rua dos Pinheiros,86,22,4.07,13.39,0.45
Rua dos Cravos,132,92,1.74,21.69,0.54
Rua das Oliveiras,33,83,2.1,17.5,0.37
Rua das Rosas,18,38,0.69,28.61,0.74
Rua dos Ipes,79,61,3.8,6.43,0.84
Rua das Palmeiras,109,35,3.09,27.43,0.27
Rua das Flores,131,2,4.11,8.34,0.91
Rua das Palmeiras,86,1,0.89,22.01,0.94
Rua do Campo,12,152,3.76,24.05,0.33
Rua do Sol,73,40,4.05,24.07,0.25
Rua dos Ipes,114,36,2.33,3.95,0.9
Rua dos Lirios,96,135,4.44,4.9,0.55
Rua do Sol,129,72,1.93,13.62,0.25
Rua dos Jacarandas,77,10,2.73,11.91,0.93
Rua da Aurora,150,99,3.28,28.98,0.64
Rua das Violetas,30,88,1.33,27.06,0.34
Rua das Aguas,128,102,3.3,21.9,0.23
Rua do Sol,83,18,0.57,28.95,0.31
Rua das Oliveiras,8,23,3.95,2.54,0.36
Rua das Violetas,144,99,2.69,17.6,0.31
Rua dos Cravos,132,106,2.41,4.75,0.72
Rua das Margaridas,106,132,4.31,23.68,0.51
Rua das Oliveiras,143,86,3.02,15.61,0.8
Rua das Aguas,97,44,2.32,21.14,0.59
Rua dos Girassois,17,26,4.97,1.77,0.67
Rua dos Passaros,124,110,2.83,29.07,0.83
Rua das Margaridas,30,18,3.28,4.98,0.26
Rua das Rosas,19,7,4.59,4.42,0.17
Rua do Sol,52,25,3.78,24.72,0.37
Rua da Cascata,151,52,4.89,14.0,0.69
Rua da Lua,5,124,3.36,27.13,0.76
Rua dos Passaros,143,11,2.48,14.33,0.21
Rua das Nuvens,68,71,2.85,27.86,0.11
Rua das Aguas,73,121,2.3,7.47,0.43
Rua das Oliveiras,83,49,0.73,4.74,0.94
Rua das Margaridas,105,70,4.48,4.39,0.9
Rua dos Girassois,103,1,1.4,3.3,0.92
Rua das Acacias,60,96,2.38,22.97,0.7
Rua da Lua,100,147,2.35,7.59,1.0
Rua das Aguas,30,98,4.84,16.0,0.32
Rua das Palmeiras,107,148,3.29,19.02,0.53
Rua das Flores,131,138,0.96,23.48,0.71
Rua das Margaridas,105,30,4.73,27.9,0.98
Rua da Montanha,93,92,2.92,20.0,0.21
Rua das Rosas,42,61,4.05,14.23,0.39
Rua das Flores,117,42,3.8,10.57,0.47
Rua das Rosas,70,81,2.65,16.34,0.71
Rua do Sol,71,93,1.37,19.14,0.56
Rua do Campo,143,131,2.01,21.75,0.55
Rua das Oliveiras,47,113,1.0,10.25,0.17
Rua da Colina,147,150,1.53,25.32,0.33
Rua das Oliveiras,56,108,0.8,26.03,0.34
Rua dos Lirios,78,92,3.77,27.63,0.36
Rua das Palmeiras,127,118,1.09,2.58,0.73
Rua das Margaridas,119,64,2.88,12.77,0.98
Rua das Violetas,145,96,3.48,25.1,0.64
Rua das Violetas,105,119,3.25,21.39,0.98
Rua do Campo,17,152,4.8,26.95,0.16
Rua das Acacias,8,104,2.27,14.7,0.9
Rua do Campo,118,36,1.76,27.43,0.76
Rua dos Pinheiros,71,74,4.61,10.48,0.23
Rua das Laranjeiras,143,43,2.28,20.89,0.66
Rua dos Passaros,17,122,2.9,13.92,0.16
Rua dos Passaros,56,10,1.31,19.73,0.64
Rua das Laranjeiras,148,98,3.72,21.11,0.46
Rua dos Girassois,8,133,3.87,8.63,0.3
Rua das Orquideas,105,63,4.67,8.32,0.39
Rua das Acacias,97,114,1.62,21.08,0.85
Rua dos Jacarandas,43,148,4.61,25.09,0.5
Rua das Rosas,33,134,0.88,4.94,0.86
Rua dos Pinheiros,17,29,4.95,20.33,0.22
Rua das Palmeiras,52,76,3.18,10.97,0.88
Rua dos Cravos,34,17,4.35,28.41,0.94
Rua das Acacias,5,85,2.72,2.32,0.31
Rua das Acacias,2,157,3.63,4.14,0.6
Rua das Rosas,76,87,3.6,18.53,0.85
Rua dos Passaros,120,65,4.48,26.24,0.29
Rua dos Girassois,3,25,0.8,4.76,0.58
Rua da Montanha,131,99,2.23,22.43,0.86
Rua das Palmeiras,32,141,3.11,22.82,0.61
Rua dos Cedros,126,142,2.5,10.51,0.17
Rua das Rosas,24,108,1.72,4.59,0.97
Rua das Rosas,6,111,0.58,8.71,0.45
Rua das Laranjeiras,2,82,1.04,3.13,0.82
Rua da Cascata,95,26,3.68,8.94,0.45
Rua da Lua,35,33,0.83,12.11,0.69
Rua das Laranjeiras,57,65,1.31,18.45,0.64
Rua da Cascata,100,89,1.19,24.57,0.14
Rua das Aguas,55,64,0.65,3.24,0.13
Rua da Montanha,13,123,3.4,2.87,0.31
Rua da Montanha,6,44,3.22,12.81,0.12
Rua do Sol,89,82,2.82,9.59,0.2
Rua das Oliveiras,98,92,2.14,27.67,0.21
Rua da Montanha,25,2,4.54,6.99,0.98
Rua da Cascata,23,130,2.49,17.86,0.32
Rua dos Passaros,20,153,1.92,28.91,0.58
Rua das Laranjeiras,84,156,2.84,2.46,0.63
Rua da Aurora,70,90,3.35,3.7,0.49
Rua dos Passaros,14,95,4.11,29.48,0.18
Rua dos Lirios,118,114,1.23,21.08,0.55
Rua das Aguas,141,101,2.12,23.59,0.17
Rua das Oliveiras,139,136,2.35,25.84,0.9
Rua das Acacias,48,142,1.39,18.27,0.46
Rua do Campo,75,14,1.15,25.66,0.4
Rua dos Ipes,82,68,1.56,1.47,0.31
Rua das Palmeiras,116,136,2.31,26.28,0.77
Rua das Aguas,24,31,1.19,23.8,0.76
Rua da Montanha,89,81,4.88,8.89,0.19
Rua dos Girassois,96,84,0.73,9.8,0.91
Rua das Palmeiras,96,88,4.73,29.23,0.35
Rua das Margaridas,122,47,4.5,17.49,0.54
Rua dos Cravos,132,83,1.95,15.9,0.39
Rua dos Cravos,146,72,0.74,16.65,0.78
Rua das Rosas,8,41,3.28,16.71,0.35
Rua das Aguas,131,94,3.11,7.58,0.49
Rua da Cascata,14,105,4.52,2.85,0.2
Rua do Campo,102,112,4.4,26.9,0.83
Rua da Cascata,20,83,1.2,12.09,0.93
Rua dos Passaros,152,29,1.29,18.58,0.55
